CLI;CDG_UTC;CDG_Nivel4;DESC_Nivel4;CDG_Nivel5;DESC_Nivel5;CDG_Nivel6;DESC_Nivel6;LINE_DESC
BAL;0035002;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0035003;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0035004;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0035005;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0035006;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0036001;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0036002;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0036003;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0036004;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0036006;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0036007;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0037001;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0037002;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0037003;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0037004;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0037005;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0037006;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0037007;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0037008;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0037009;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0037010;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0037011;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0037012;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0037013;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0037014;3010000;3010000;3011100;3011100;3011103;3011103;BAL
